transaction_id,base_amount,fx_rate,amount_usd,merchant_name,idempotency_key,transaction_ts,is_corrupt
TX-0000061,217.64,1.0,217.64,Sao Mart,IDEMP-000061,2025-01-01T15:00:00Z,0
TX-0000062,366.93,0.9,330.24,Cafe Central,IDEMP-000062,2025-01-01T15:15:00Z,0
TX-0000063,224.37,1.25,280.46,Muller GmbH,IDEMP-000063,2025-01-01T15:30:00Z,0
TX-0000064,349.8,1.1,384.78,Cafe Central,IDEMP-000064,2025-01-01T15:45:00Z,0
TX-0000065,497.74,1.0,1244.35,Nino Store,IDEMP-000065,2025-01-01T16:00:00Z,1
TX-0000066,124.52,1.1,342.42,Nino Store,IDEMP-000066,2025-01-01T16:15:00Z,1
TX-0000067,381.63,0.9,343.47,Nino Store,IDEMP-000067,2025-01-01T16:30:00Z,0
TX-0000068,243.63,1.1,267.99,Sao Mart,IDEMP-000286,2025-01-01T16:45:00Z,0
TX-0000069,214.9,1.0,214.9,Nino Store,IDEMP-000069,2025-01-01T17:00:00Z,0
TX-0000070,304.81,1.1,670.58,Nino Store,IDEMP-000070,2025-01-01T17:15:00Z,1
TX-0000071,67.9,0.9,61.11,Nino Store,IDEMP-000071,2025-01-01T17:30:00Z,0
TX-0000072,164.53,0.9,148.08,Muller GmbH,IDEMP-000072,2025-01-01T17:45:00Z,0
TX-0000073,144.24,1.25,360.6,Muller GmbH,IDEMP-000073,2025-01-01T18:00:00Z,1
TX-0000074,309.11,1.0,309.11,MÃ¼ller GmbH,IDEMP-000074,2025-01-01T18:15:00Z,0
TX-0000075,120.25,0.9,270.55,Sao Mart,IDEMP-000075,2025-01-01T18:30:00Z,1
TX-0000076,33.22,1.25,41.52,Cafe Central,IDEMP-000076,2025-01-01T18:45:00Z,0
TX-0000077,29.92,0.9,26.93,Nino Store,IDEMP-000077,2025-01-01T19:00:00Z,0
TX-0000078,389.52,1.1,428.47,Cafe Central,IDEMP-000078,2025-01-01T19:15:00Z,0
TX-0000079,345.07,1.25,431.34,Muller GmbH,IDEMP-000079,2025-01-01T19:30:00Z,0
TX-0000080,426.29,1.1,468.92,Muller GmbH,IDEMP-000080,2025-01-01T19:45:00Z,0
TX-0000081,341.82,1.0,341.82,Cafe Central,IDEMP-000081,2025-01-01T20:00:00Z,0
TX-0000082,35.6,1.0,35.6,Nino Store,IDEMP-000082,2025-01-01T20:15:00Z,0
TX-0000083,353.55,1.1,388.9,Sao Mart,IDEMP-000083,2025-01-01T20:30:00Z,0
TX-0000084,278.03,0.9,250.23,Cafe Central,IDEMP-000084,2025-01-01T20:45:00Z,0
TX-0000085,481.28,1.0,481.28,Sao Mart,IDEMP-000085,2025-01-01T21:00:00Z,0
TX-0000086,122.6,1.25,153.25,SÃ£o Mart,IDEMP-000086,2025-01-01T21:15:00Z,0
TX-0000087,48.13,1.25,150.4,Cafe Central,IDEMP-000087,2025-01-01T21:30:00Z,1
TX-0000088,418.12,1.25,522.65,Nino Store,IDEMP-000088,2025-01-01T21:45:00Z,0
TX-0000089,217.12,1.25,271.4,Muller GmbH,IDEMP-000089,2025-01-01T22:00:00Z,0
TX-0000090,240.28,1.1,264.31,Muller GmbH,IDEMP-000090,2025-01-01T22:15:00Z,0
TX-0000091,361.31,1.0,361.31,Sao Mart,IDEMP-000091,2025-01-01T22:30:00Z,0
TX-0000092,99.63,1.1,109.59,Cafe Central,IDEMP-000092,2025-01-01T22:45:00Z,0
TX-0000093,231.0,1.1,381.15,Nino Store,IDEMP-000093,2025-01-01T23:00:00Z,1
TX-0000094,403.14,0.9,362.83,CafÃ© Central,IDEMP-000094,2025-01-01T23:15:00Z,0
TX-0000095,301.1,1.1,331.21,Nino Store,IDEMP-000095,2025-01-01T23:30:00Z,0
TX-0000096,452.55,0.9,407.3,Cafe Central,IDEMP-000096,2025-01-01T23:45:00Z,0
TX-0000097,434.04,1.1,477.44,Muller GmbH,IDEMP-000097,2025-01-02T00:00:00Z,0
TX-0000098,144.01,1.0,144.01,Muller GmbH,IDEMP-000098,2025-01-02T00:15:00Z,0
TX-0000099,399.92,0.9,359.93,Nino Store,IDEMP-000099,2025-01-02T00:30:00Z,0
TX-0000100,321.71,0.9,289.54,Cafe Central,IDEMP-000100,2025-01-02T00:45:00Z,0
TX-0000101,69.33,1.25,129.99,Cafe Central,IDEMP-000101,2025-01-02T01:00:00Z,1
TX-0000102,139.18,0.9,125.26,MÃ¼ller GmbH,IDEMP-000102,2025-01-02T01:15:00Z,0
TX-0000103,379.35,1.0,379.35,Sao Mart,IDEMP-000103,2025-01-02T01:30:00Z,0
TX-0000104,424.51,1.0,424.51,Muller GmbH,IDEMP-000104,2025-01-02T01:45:00Z,0
TX-0000105,86.01,0.9,77.41,Muller GmbH,IDEMP-000105,2025-01-02T02:00:00Z,0
TX-0000106,355.01,1.1,390.51,Sao Mart,IDEMP-000106,2025-01-02T02:15:00Z,0
TX-0000107,169.69,0.9,152.72,Cafe Central,IDEMP-000107,2025-01-02T02:30:00Z,0
TX-0000108,99.92,0.9,89.93,Nino Store,IDEMP-000108,2025-01-02T02:45:00Z,0
TX-0000109,58.3,1.1,64.13,Muller GmbH,IDEMP-000109,2025-01-02T03:00:00Z,0
TX-0000110,58.38,0.9,52.54,Muller GmbH,IDEMP-000110,2025-01-02T03:15:00Z,0
TX-0000111,236.85,1.1,260.54,Nino Store,IDEMP-000111,2025-01-02T03:30:00Z,0
TX-0000112,66.9,0.9,60.21,Muller GmbH,IDEMP-000112,2025-01-02T03:45:00Z,0
TX-0000113,306.94,0.9,276.25,Cafe Central,IDEMP-000113,2025-01-02T04:00:00Z,0
TX-0000114,414.29,1.1,455.72,Muller GmbH,IDEMP-000114,2025-01-02T04:15:00Z,0
TX-0000115,217.03,1.0,217.03,Nino Store,IDEMP-000115,2025-01-02T04:30:00Z,0
TX-0000116,313.64,0.9,282.28,Nino Store,IDEMP-000116,2025-01-02T04:45:00Z,0
TX-0000117,419.8,0.9,377.82,Muller GmbH,IDEMP-000117,2025-01-02T05:00:00Z,0
TX-0000118,413.8,1.0,413.8,Nino Store,IDEMP-000118,2025-01-02T05:15:00Z,0
TX-0000119,163.63,0.9,147.27,Cafe Central,IDEMP-000119,2025-01-02T05:30:00Z,0
TX-0000120,287.21,1.1,789.82,Muller GmbH,IDEMP-000120,2025-01-02T05:45:00Z,1
TX-0000121,242.78,1.1,267.06,Nino Store,IDEMP-000121,2025-01-02T06:00:00Z,0
TX-0000122,68.73,0.9,61.86,Muller GmbH,IDEMP-000122,2025-01-02T06:15:00Z,0
TX-0000123,107.89,1.1,118.68,Muller GmbH,IDEMP-000123,2025-01-02T06:30:00Z,0
TX-0000124,51.33,1.0,51.33,Sao Mart,IDEMP-000124,2025-01-02T06:45:00Z,0
TX-0000125,118.9,1.25,148.62,Sao Mart,IDEMP-001501,2025-01-02T07:00:00Z,0
TX-0000126,479.36,0.9,431.42,Nino Store,IDEMP-000126,2025-01-02T07:15:00Z,0
TX-0000127,454.4,1.1,499.84,Cafe Central,IDEMP-000127,2025-01-02T07:30:00Z,0
TX-0000128,413.45,1.0,413.45,Cafe Central,IDEMP-000128,2025-01-02T07:45:00Z,0
TX-0000129,424.78,0.9,573.45,Sao Mart,IDEMP-000129,2025-01-02T08:00:00Z,1
TX-0000130,460.54,1.25,575.68,Sao Mart,IDEMP-000130,2025-01-02T08:15:00Z,0
TX-0000131,102.2,0.9,91.98,Nino Store,IDEMP-000131,2025-01-02T08:30:00Z,0
TX-0000132,294.46,1.0,294.46,Cafe Central,IDEMP-000132,2025-01-02T08:45:00Z,0
TX-0000133,194.5,1.0,194.5,Cafe Central,IDEMP-001463,2025-01-02T09:00:00Z,0
TX-0000134,104.34,0.9,93.91,Muller GmbH,IDEMP-000134,2025-01-02T09:15:00Z,0
TX-0000135,77.04,0.9,69.34,Sao Mart,IDEMP-000135,2025-01-02T09:30:00Z,0
TX-0000136,435.55,1.25,544.44,Sao Mart,IDEMP-000136,2025-01-02T09:45:00Z,0
TX-0000137,322.78,1.25,403.48,Muller GmbH,IDEMP-000137,2025-01-02T10:00:00Z,0
TX-0000138,357.02,1.25,446.28,MÃ¼ller GmbH,IDEMP-000138,2025-01-02T10:15:00Z,0
TX-0000139,446.6,1.25,558.25,Sao Mart,IDEMP-000139,2025-01-02T10:30:00Z,0
TX-0000140,102.42,1.25,128.02,Sao Mart,IDEMP-000140,2025-01-02T10:45:00Z,0
TX-0000141,496.56,1.1,546.22,Muller GmbH,IDEMP-000141,2025-01-02T11:00:00Z,0
TX-0000142,250.74,1.0,250.74,Sao Mart,IDEMP-000142,2025-01-02T11:15:00Z,0
TX-0000143,178.57,1.25,223.21,Sao Mart,IDEMP-000143,2025-01-02T11:30:00Z,0
TX-0000144,469.33,1.0,469.33,Sao Mart,IDEMP-000144,2025-01-02T11:45:00Z,0
TX-0000145,137.7,0.9,123.93,Muller GmbH,IDEMP-000145,2025-01-02T12:00:00Z,0
TX-0000146,431.08,1.25,538.85,Muller GmbH,IDEMP-000146,2025-01-02T12:15:00Z,0
TX-0000147,89.43,1.25,111.79,Sao Mart,IDEMP-000147,2025-01-02T12:30:00Z,0
TX-0000148,304.24,1.25,380.3,Muller GmbH,IDEMP-000148,2025-01-02T12:45:00Z,0
TX-0000149,313.98,1.1,345.38,Sao Mart,IDEMP-000149,2025-01-02T13:00:00Z,0
TX-0000150,172.92,0.9,155.63,Sao Mart,IDEMP-000150,2025-01-02T13:15:00Z,0
TX-0000151,309.41,1.25,386.76,Muller GmbH,IDEMP-000151,2025-01-02T13:30:00Z,0
TX-0000152,470.66,1.1,517.73,CafÃ© Central,IDEMP-000152,2025-01-02T13:45:00Z,0
TX-0000153,192.97,1.25,241.21,Nino Store,IDEMP-000153,2025-01-02T14:00:00Z,0
TX-0000154,68.43,0.9,61.59,Sao Mart,IDEMP-000154,2025-01-02T14:15:00Z,0
TX-0000155,234.33,1.1,257.76,Muller GmbH,IDEMP-000155,2025-01-02T14:30:00Z,0
TX-0000156,60.17,0.9,54.15,Nino Store,IDEMP-000156,2025-01-02T14:45:00Z,0
TX-0000157,332.52,1.0,332.52,Muller GmbH,IDEMP-001398,2025-01-02T15:00:00Z,0
TX-0000158,372.39,1.25,698.24,Nino Store,IDEMP-000158,2025-01-02T15:15:00Z,1
TX-0000159,27.35,0.9,24.62,Muller GmbH,IDEMP-000159,2025-01-02T15:30:00Z,0
TX-0000160,417.11,1.25,521.39,Nino Store,IDEMP-000160,2025-01-02T15:45:00Z,0
TX-0000161,345.93,1.25,432.41,Cafe Central,IDEMP-000161,2025-01-02T16:00:00Z,0
TX-0000162,228.51,0.9,308.49,NiÃ±o Store,IDEMP-000162,2025-01-02T16:15:00Z,1
TX-0000163,12.84,1.1,14.12,Nino Store,IDEMP-000163,2025-01-02T16:30:00Z,0
TX-0000164,97.55,1.0,97.55,Cafe Central,IDEMP-000164,2025-01-02T16:45:00Z,0
TX-0000165,233.08,0.9,209.77,Cafe Central,IDEMP-000165,2025-01-02T17:00:00Z,0
TX-0000166,408.16,1.1,448.98,Sao Mart,IDEMP-000166,2025-01-02T17:15:00Z,0
TX-0000167,32.36,0.9,43.68,Cafe Central,IDEMP-000167,2025-01-02T17:30:00Z,1
TX-0000168,351.54,0.9,316.39,Sao Mart,IDEMP-000168,2025-01-02T17:45:00Z,0
TX-0000169,18.44,1.25,23.05,SÃ£o Mart,IDEMP-001080,2025-01-02T18:00:00Z,0
TX-0000170,270.61,1.25,338.26,Muller GmbH,IDEMP-000170,2025-01-02T18:15:00Z,0
TX-0000171,149.34,1.25,186.68,Nino Store,IDEMP-000171,2025-01-02T18:30:00Z,0
TX-0000172,391.93,1.1,431.12,Sao Mart,IDEMP-000172,2025-01-02T18:45:00Z,0
TX-0000173,85.73,1.1,94.3,Sao Mart,IDEMP-000173,2025-01-02T19:00:00Z,0
TX-0000174,426.52,1.25,533.15,Muller GmbH,IDEMP-000174,2025-01-02T19:15:00Z,0
TX-0000175,381.25,1.25,476.56,Nino Store,IDEMP-000175,2025-01-02T19:30:00Z,0
TX-0000176,488.14,0.9,439.33,Sao Mart,IDEMP-000176,2025-01-02T19:45:00Z,0
TX-0000177,277.93,1.0,277.93,Nino Store,IDEMP-000177,2025-01-02T20:00:00Z,0
TX-0000178,118.04,1.1,129.84,Sao Mart,IDEMP-000178,2025-01-02T20:15:00Z,0
TX-0000179,373.97,1.1,411.37,Muller GmbH,IDEMP-000179,2025-01-02T20:30:00Z,0
TX-0000180,272.55,1.1,299.81,Cafe Central,IDEMP-000180,2025-01-02T20:45:00Z,0
TX-0000181,20.64,1.0,20.64,Muller GmbH,IDEMP-000181,2025-01-02T21:00:00Z,0
TX-0000182,98.63,1.1,108.49,Nino Store,IDEMP-000182,2025-01-02T21:15:00Z,0
TX-0000183,127.45,1.1,140.2,Muller GmbH,IDEMP-000183,2025-01-02T21:30:00Z,0
TX-0000184,348.74,1.0,348.74,Sao Mart,IDEMP-000184,2025-01-02T21:45:00Z,0
TX-0000185,447.66,1.1,492.43,Cafe Central,IDEMP-000185,2025-01-02T22:00:00Z,0
TX-0000186,91.8,1.25,114.75,Cafe Central,IDEMP-000186,2025-01-02T22:15:00Z,0
TX-0000187,231.12,1.1,254.23,Cafe Central,IDEMP-000187,2025-01-02T22:30:00Z,0
TX-0000188,319.26,1.1,351.19,Sao Mart,IDEMP-001562,2025-01-02T22:45:00Z,0
TX-0000189,421.6,1.0,1054.0,Nino Store,IDEMP-000189,2025-01-02T23:00:00Z,1
TX-0000190,439.4,1.0,659.1,Nino Store,IDEMP-000190,2025-01-02T23:15:00Z,1
TX-0000191,239.52,1.0,239.52,Sao Mart,IDEMP-000191,2025-01-02T23:30:00Z,0
TX-0000192,94.57,1.25,118.21,Muller GmbH,IDEMP-000192,2025-01-02T23:45:00Z,0
TX-0000193,105.8,0.9,95.22,Nino Store,IDEMP-000193,2025-01-03T00:00:00Z,0
TX-0000194,324.17,1.1,356.59,Muller GmbH,IDEMP-000194,2025-01-03T00:15:00Z,0
TX-0000195,256.76,1.25,481.42,Sao Mart,IDEMP-000195,2025-01-03T00:30:00Z,1
TX-0000196,40.03,0.9,36.03,Muller GmbH,IDEMP-000196,2025-01-03T00:45:00Z,0
TX-0000197,476.71,0.9,429.04,Muller GmbH,IDEMP-000197,2025-01-03T01:00:00Z,0
TX-0000198,333.43,1.1,550.16,Cafe Central,IDEMP-000198,2025-01-03T01:15:00Z,1
TX-0000199,407.9,0.9,367.11,Sao Mart,IDEMP-000199,2025-01-03T01:30:00Z,0
TX-0000200,193.31,0.9,173.98,Nino Store,IDEMP-000200,2025-01-03T01:45:00Z,0
TX-0000201,245.92,1.0,245.92,Muller GmbH,IDEMP-000201,2025-01-03T02:00:00Z,0
TX-0000202,179.38,1.0,179.38,Sao Mart,IDEMP-000202,2025-01-03T02:15:00Z,0
TX-0000203,104.09,1.25,130.11,Sao Mart,IDEMP-000203,2025-01-03T02:30:00Z,0
TX-0000204,459.21,1.0,459.21,Cafe Central,IDEMP-000204,2025-01-03T02:45:00Z,0
TX-0000205,435.82,1.0,435.82,Nino Store,IDEMP-000205,2025-01-03T03:00:00Z,0
TX-0000206,285.64,1.25,357.05,Muller GmbH,IDEMP-000206,2025-01-03T03:15:00Z,0
TX-0000207,177.32,0.9,159.59,Sao Mart,IDEMP-000207,2025-01-03T03:30:00Z,0
TX-0000208,152.98,0.9,137.68,Sao Mart,IDEMP-000208,2025-01-03T03:45:00Z,0
TX-0000209,74.18,1.0,74.18,Muller GmbH,IDEMP-000209,2025-01-03T04:00:00Z,0
TX-0000210,354.33,1.25,442.91,Nino Store,IDEMP-000210,2025-01-03T04:15:00Z,0
TX-0000211,31.9,0.9,28.71,Muller GmbH,IDEMP-000876,2025-01-03T04:30:00Z,0
TX-0000212,306.53,1.25,383.16,Sao Mart,IDEMP-000212,2025-01-03T04:45:00Z,0
TX-0000213,378.36,1.1,416.2,Muller GmbH,IDEMP-000213,2025-01-03T05:00:00Z,0
TX-0000214,12.69,1.1,13.96,Cafe Central,IDEMP-000214,2025-01-03T05:15:00Z,0
TX-0000215,316.43,0.9,284.79,Sao Mart,IDEMP-000215,2025-01-03T05:30:00Z,0
TX-0000216,318.29,0.9,286.46,Nino Store,IDEMP-000216,2025-01-03T05:45:00Z,0
TX-0000217,52.77,1.0,105.54,Nino Store,IDEMP-000217,2025-01-03T06:00:00Z,1
TX-0000218,364.99,1.0,364.99,Muller GmbH,IDEMP-000218,2025-01-03T06:15:00Z,0
TX-0000219,112.59,1.1,123.85,Sao Mart,IDEMP-000219,2025-01-03T06:30:00Z,0
TX-0000220,228.16,0.9,205.34,Muller GmbH,IDEMP-000220,2025-01-03T06:45:00Z,0
TX-0000221,140.65,1.1,154.72,Muller GmbH,IDEMP-000221,2025-01-03T07:00:00Z,0
TX-0000222,62.71,1.0,62.71,Cafe Central,IDEMP-000222,2025-01-03T07:15:00Z,0
TX-0000223,395.83,1.0,395.83,Nino Store,IDEMP-000223,2025-01-03T07:30:00Z,0
TX-0000224,340.01,1.0,340.01,Sao Mart,IDEMP-000224,2025-01-03T07:45:00Z,0
TX-0000225,399.51,1.25,1248.47,Sao Mart,IDEMP-001089,2025-01-03T08:00:00Z,1
TX-0000226,230.7,1.25,288.38,Sao Mart,IDEMP-000226,2025-01-03T08:15:00Z,0
TX-0000227,145.31,1.1,159.84,Sao Mart,IDEMP-000227,2025-01-03T08:30:00Z,0
TX-0000228,347.88,0.9,313.09,Muller GmbH,IDEMP-000228,2025-01-03T08:45:00Z,0
TX-0000229,185.4,1.1,509.85,Cafe Central,IDEMP-000229,2025-01-03T09:00:00Z,1
TX-0000230,346.6,1.0,866.5,NiÃ±o Store,IDEMP-000230,2025-01-03T09:15:00Z,1
TX-0000231,76.26,1.0,152.52,Sao Mart,IDEMP-000231,2025-01-03T09:30:00Z,1
TX-0000232,181.3,1.1,299.14,Muller GmbH,IDEMP-000232,2025-01-03T09:45:00Z,1
TX-0000233,423.06,1.1,465.37,Sao Mart,IDEMP-000567,2025-01-03T10:00:00Z,0
TX-0000234,138.3,1.25,172.88,Cafe Central,IDEMP-000234,2025-01-03T10:15:00Z,0
TX-0000235,109.95,1.1,120.94,Muller GmbH,IDEMP-000235,2025-01-03T10:30:00Z,0
TX-0000236,199.44,1.25,249.3,Nino Store,IDEMP-000138,2025-01-03T10:45:00Z,0
TX-0000237,204.09,1.25,255.11,Cafe Central,IDEMP-000237,2025-01-03T11:00:00Z,0
TX-0000238,72.66,1.1,159.86,Sao Mart,IDEMP-000238,2025-01-03T11:15:00Z,1
TX-0000239,236.38,1.25,295.48,Cafe Central,IDEMP-000239,2025-01-03T11:30:00Z,0
TX-0000240,134.07,1.25,167.59,Nino Store,IDEMP-000240,2025-01-03T11:45:00Z,0
TX-0000241,495.69,1.1,545.26,Nino Store,IDEMP-000241,2025-01-03T12:00:00Z,0
TX-0000242,226.3,1.1,248.93,MÃ¼ller GmbH,IDEMP-000242,2025-01-03T12:15:00Z,0
TX-0000243,136.23,0.9,122.61,Muller GmbH,IDEMP-000243,2025-01-03T12:30:00Z,0
TX-0000244,34.89,1.25,43.61,Nino Store,IDEMP-000244,2025-01-03T12:45:00Z,0
TX-0000245,406.55,1.0,406.55,Cafe Central,IDEMP-000245,2025-01-03T13:00:00Z,0
TX-0000246,228.52,1.1,251.37,Cafe Central,IDEMP-000246,2025-01-03T13:15:00Z,0
TX-0000247,124.48,1.25,155.6,Muller GmbH,IDEMP-000247,2025-01-03T13:30:00Z,0
TX-0000248,122.82,1.1,337.75,Nino Store,IDEMP-000248,2025-01-03T13:45:00Z,1
TX-0000249,362.39,1.1,398.63,Nino Store,IDEMP-000249,2025-01-03T14:00:00Z,0
TX-0000250,287.09,1.0,287.09,Muller GmbH,IDEMP-000250,2025-01-03T14:15:00Z,0
TX-0000251,219.83,1.0,219.83,Cafe Central,IDEMP-000251,2025-01-03T14:30:00Z,0
TX-0000252,71.99,1.1,197.98,Nino Store,IDEMP-000252,2025-01-03T14:45:00Z,1
TX-0000253,56.91,1.1,62.6,Nino Store,IDEMP-000253,2025-01-03T15:00:00Z,0
TX-0000254,189.6,1.25,237.0,Nino Store,IDEMP-000254,2025-01-03T15:15:00Z,0
TX-0000255,60.16,1.25,75.2,Muller GmbH,IDEMP-000255,2025-01-03T15:30:00Z,0
TX-0000256,13.53,0.9,12.18,Muller GmbH,IDEMP-000256,2025-01-03T15:45:00Z,0
TX-0000257,398.65,0.9,358.78,Sao Mart,IDEMP-000257,2025-01-03T16:00:00Z,0
TX-0000258,92.82,0.9,83.54,Cafe Central,IDEMP-000258,2025-01-03T16:15:00Z,0
TX-0000259,393.38,1.0,983.45,Muller GmbH,IDEMP-000259,2025-01-03T16:30:00Z,1
TX-0000260,164.87,0.9,148.38,Sao Mart,IDEMP-000260,2025-01-03T16:45:00Z,0
TX-0000261,241.92,1.0,241.92,Sao Mart,IDEMP-000261,2025-01-03T17:00:00Z,0
TX-0000262,400.79,1.1,440.87,Muller GmbH,IDEMP-000262,2025-01-03T17:15:00Z,0
TX-0000263,305.56,0.9,275.0,Nino Store,IDEMP-000263,2025-01-03T17:30:00Z,0
TX-0000264,236.89,0.9,533.0,Sao Mart,IDEMP-000264,2025-01-03T17:45:00Z,1
TX-0000265,148.03,1.1,162.83,Cafe Central,IDEMP-000265,2025-01-03T18:00:00Z,0
TX-0000266,38.22,1.0,38.22,Cafe Central,IDEMP-000266,2025-01-03T18:15:00Z,0
